date,open,low,high,close,adj_close,volume,shares_outstanding
2002-12-31,73.71,73.71,75.01,74.09,42.94,8233484,1804663800.0
2003-01-02,75.33,74.75,77.03,77.03,44.64,8226267,1804663800.0
2003-01-03,77.15,76.68,78.06,78.06,45.24,6236566,1804663800.0
2003-01-06,78.3,78.21,81.07,79.91,46.32,8285680,1804663800.0
2003-01-07,80.26,80.07,82.39,82.22,47.65,12454617,1804663800.0
2003-01-08,81.79,80.37,81.92,80.49,46.65,9946205,1804663800.0
2003-01-09,81.02,81.02,83.19,83.17,48.21,11204334,1804663800.0
2003-01-10,82.07,81.93,84.17,83.82,48.58,10413348,1804663800.0
2003-01-13,84.43,83.51,85.04,83.66,48.49,10981954,1804663800.0
2003-01-14,83.39,83.38,84.69,84.68,49.08,7917279,1804663800.0
2003-01-15,84.68,83.13,84.75,83.74,48.53,8521344,1804663800.0
2003-01-16,83.56,81.63,83.85,82.27,47.68,10359898,1804663800.0
2003-01-17,80.06,77.61,80.06,77.72,45.05,18128435,1804663800.0
2003-01-21,77.72,76.96,78.25,77.0,44.63,9337537,1804663800.0
2003-01-22,76.48,75.9,77.22,76.19,44.16,9866290,1804663800.0
2003-01-23,76.63,76.29,77.78,77.49,44.91,8756484,1804663800.0
2003-01-24,77.06,75.35,77.92,75.52,43.77,8104408,1804663800.0
2003-01-27,74.56,74.2,76.0,74.97,43.45,9735959,1804663800.0
2003-01-28,75.05,74.91,76.93,76.59,44.39,8386200,1804663800.0
2003-01-29,76.0,75.11,77.15,76.79,44.51,8111730,1804663800.0
2003-01-30,77.72,74.86,77.72,74.86,43.39,7687577,1804663800.0
2003-01-31,74.28,73.63,74.89,74.76,43.33,10192329,1804663800.0
2003-02-03,74.76,74.33,75.4,74.74,43.32,6990941,1804663800.0
2003-02-04,74.74,72.9,74.74,73.7,42.72,7548145,1804663800.0
2003-02-05,74.43,73.49,75.43,73.86,42.81,7768851,1804663800.0
2003-02-06,73.72,73.15,74.76,74.1,43.03,8111939,1804663800.0
2003-02-07,74.54,73.24,74.71,73.71,42.8,8678034,1804663800.0
2003-02-10,73.71,73.09,74.59,74.48,43.25,8314759,1804663800.0
2003-02-11,74.86,73.91,75.5,73.99,42.97,8993717,1804663800.0
2003-02-12,74.09,73.14,74.66,73.14,42.47,5867223,1804663800.0
2003-02-13,72.75,71.04,72.99,72.52,42.12,11734446,1804663800.0
2003-02-14,73.04,72.04,74.04,74.04,43.0,8681277,1804663800.0
2003-02-18,74.59,74.48,76.0,75.84,44.04,8149595,1804663800.0
2003-02-19,75.6,75.35,76.19,76.01,44.14,5690554,1804663800.0
2003-02-20,76.07,75.25,76.53,75.67,43.94,6574215,1804663800.0
2003-02-21,75.99,74.72,76.48,76.43,44.39,7796779,1804663800.0
2003-02-24,76.19,75.11,76.47,75.11,43.62,7190936,1804663800.0
2003-02-25,74.47,73.52,75.88,75.59,43.9,8028991,1804663800.0
2003-02-26,75.0,73.9,75.57,74.0,42.97,8982002,1804663800.0
2003-02-27,74.47,73.37,75.13,73.88,42.9,10383119,1804663800.0
2003-02-28,73.61,73.61,75.02,74.52,43.28,6888119,1804663800.0
2003-03-03,75.43,73.73,75.53,73.93,42.93,6922742,1804663800.0
2003-03-04,74.19,73.16,74.33,73.33,42.58,5933121,1804663800.0
2003-03-05,73.33,72.9,74.31,74.31,43.15,6964268,1804663800.0
2003-03-06,73.61,73.33,74.36,73.68,42.79,6146610,1804663800.0
2003-03-07,72.38,72.38,74.56,74.47,43.25,8503143,1804663800.0
2003-03-10,74.04,72.18,74.04,72.37,42.03,6946800,1804663800.0
2003-03-11,72.49,71.89,72.97,72.04,41.83,8492683,1804663800.0
2003-03-12,71.94,69.95,72.3,71.87,41.74,13361290,1804663800.0
2003-03-13,72.65,72.0,75.22,75.0,43.55,10933315,1804663800.0
2003-03-14,75.0,74.67,75.98,75.53,43.86,10583114,1804663800.0
2003-03-17,74.57,74.42,79.03,78.83,45.78,15891878,1804663800.0
2003-03-18,78.83,77.91,79.83,78.84,45.79,11291988,1804663800.0
2003-03-19,78.48,77.51,78.87,78.39,45.52,10954863,1804663800.0
2003-03-20,78.12,77.09,78.86,78.59,45.64,9462534,1804663800.0
2003-03-21,79.12,79.12,81.17,81.17,47.13,13206168,1804663800.0
2003-03-24,78.83,78.61,79.68,78.63,45.66,9782820,1804663800.0
2003-03-25,78.39,78.15,80.31,79.78,46.33,9180847,1804663800.0
2003-03-26,79.35,77.61,79.59,77.96,45.28,11016054,1804663800.0
2003-03-27,77.2,76.97,78.71,77.87,45.22,7600027,1804663800.0
2003-03-28,77.49,76.96,78.38,77.29,44.89,6955063,1804663800.0
2003-03-31,75.77,74.87,76.11,74.98,43.54,10636983,1804663800.0
2003-04-01,75.05,74.68,76.06,75.27,43.71,8223024,1804663800.0
2003-04-02,76.39,76.39,78.37,77.88,45.23,10146305,1804663800.0
2003-04-03,78.7,78.12,79.81,78.31,45.47,10066286,1804663800.0
2003-04-04,78.73,76.52,78.92,77.24,44.85,9398310,1804663800.0
2003-04-07,78.97,76.72,79.25,76.93,44.68,9289944,1804663800.0
2003-04-08,77.07,75.02,77.15,76.55,44.45,8428250,1804663800.0
2003-04-09,76.19,75.17,77.19,75.25,43.7,8936187,1804663800.0
2003-04-10,75.62,74.69,75.76,75.54,43.86,7196585,1804663800.0
2003-04-11,76.58,75.0,77.72,75.29,43.72,7921881,1804663800.0
2003-04-14,75.05,74.72,76.55,76.55,44.45,9420276,1804663800.0
2003-04-15,76.55,76.2,79.21,79.15,45.96,14239721,1804663800.0
2003-04-16,79.71,79.1,80.69,79.24,46.01,11287072,1804663800.0
2003-04-17,78.29,78.29,80.69,80.55,46.78,9206997,1804663800.0
2003-04-21,80.69,79.45,80.79,79.69,46.28,7011756,1804663800.0
2003-04-22,79.69,78.97,82.28,81.86,47.54,9981560,1804663800.0
2003-04-23,81.49,81.22,82.19,81.98,47.61,7410387,1804663800.0
2003-04-24,80.93,80.91,81.93,81.45,47.3,6216901,1804663800.0
2003-04-25,81.46,80.17,81.53,80.19,46.57,7103072,1804663800.0
2003-04-28,80.35,79.94,81.74,81.38,47.26,6656326,1804663800.0
2003-04-29,81.59,81.23,82.69,81.89,47.56,9082313,1804663800.0
2003-04-30,81.89,80.96,81.9,81.17,47.13,8833365,1804663800.0
2003-05-01,81.55,80.76,82.44,82.11,47.68,7830042,1804663800.0
2003-05-02,80.74,80.74,83.72,83.72,48.62,8767467,1804663800.0
2003-05-05,83.37,82.72,84.13,82.72,48.03,7983595,1804663800.0
2003-05-06,82.5,82.22,84.46,83.66,48.58,7802742,1804663800.0
2003-05-07,83.13,82.7,83.95,82.87,48.21,7065312,1804663800.0
2003-05-08,82.57,81.98,82.96,82.27,47.86,7518857,1804663800.0
2003-05-09,83.08,82.6,83.84,83.7,48.7,6508840,1804663800.0
2003-05-12,83.7,83.27,85.33,85.09,49.5,8834202,1804663800.0
2003-05-13,84.88,84.67,86.14,86.02,50.05,9067042,1804663800.0
2003-05-14,86.04,84.42,86.42,84.8,49.34,8108801,1804663800.0
2003-05-15,85.56,85.09,86.0,85.95,50.0,7429633,1804663800.0
2003-05-16,85.73,85.04,85.94,85.08,49.5,7145854,1804663800.0
2003-05-19,84.18,82.61,84.58,82.65,48.08,7634126,1804663800.0
2003-05-20,82.77,81.16,83.4,82.0,47.71,7669167,1804663800.0
2003-05-21,82.0,81.34,82.39,82.39,47.93,7051086,1804663800.0
2003-05-22,82.46,82.03,82.98,82.29,47.88,6566056,1804663800.0
