date,open,low,high,close,adj_close,volume
2000-01-03,148.25,143.88,148.25,145.44,94.87,8164300
2000-01-04,143.53,139.64,144.06,139.75,91.16,8089800
2000-01-05,139.94,137.25,141.53,140.0,91.33,12177900
2000-01-06,139.62,137.75,141.5,137.75,89.86,6227200
2000-01-07,140.31,140.06,145.75,145.75,95.08,8066500
2000-01-10,146.25,145.03,146.91,146.25,95.4,5741700
2000-01-11,145.81,143.5,146.09,144.5,94.26,7503700
2000-01-12,144.59,142.88,144.59,143.06,93.32,6907700
2000-01-13,144.47,143.28,145.75,145.0,94.59,5158300
2000-01-14,146.53,145.97,147.47,146.97,95.87,7437300
2000-01-18,145.34,145.19,146.62,145.81,95.12,6488500
2000-01-19,145.31,145.0,147.0,147.0,95.89,6157900
2000-01-20,146.97,143.81,146.97,144.75,94.43,5800100
2000-01-21,145.5,144.06,145.5,144.44,94.22,6244800
2000-01-24,145.66,139.41,145.84,140.34,91.55,7896900
2000-01-25,140.52,139.0,141.94,141.94,92.59,9942500
2000-01-26,141.0,140.09,141.55,140.81,91.86,5158100
2000-01-27,141.84,138.12,142.22,140.25,91.49,10922700
2000-01-28,139.44,135.53,140.06,135.88,88.64,11916200
2000-01-31,135.81,135.0,139.67,139.56,91.04,10768700
2000-02-01,139.75,138.53,141.69,140.94,91.94,8419900
2000-02-02,141.28,140.38,142.25,141.06,92.02,6205900
2000-02-03,140.88,140.0,143.25,143.19,93.41,7997500
2000-02-04,143.19,142.12,144.0,142.59,93.02,4925400
2000-02-07,142.56,141.44,142.78,142.38,92.88,5845800
2000-02-08,143.97,143.62,144.56,144.31,94.14,4936400
2000-02-09,144.47,141.27,144.47,141.28,92.16,8511500
2000-02-10,141.62,140.88,142.56,141.56,92.35,6690600
2000-02-11,141.84,138.03,141.94,138.69,90.47,9849800
2000-02-14,139.78,138.31,139.78,139.5,91.0,8528800
2000-02-15,139.25,137.8,141.22,141.08,92.03,11078300
2000-02-16,140.38,138.8,140.94,139.0,90.67,8845400
2000-02-17,140.44,138.22,140.44,138.28,90.21,7584200
